,nb1,p23,b23,nb23,ss4_L4,ss4_L23,p4,b4,nb4,p5_L23,p5_L56,b5,nb5,p6_L4,p6_L56,b6,nb6,corticcortical,TCs,TCn,TIs,TIn,TRN
nb1,0.15051600458295245,0.0056688451306268145,0.004140017620920893,0.014166172755571362,0.0,0.0,0.0004859234941936023,0.0,0.0,0.0006117517300910078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06870702774362458,0.0,0.0673157009909537,0.0,0.0,0.0
p23_23,0.0,0.6095217211817757,0.7100691639591704,0.6407975557675775,0.03439362019632303,0.4731610649687267,0.4231233029755105,0.0,0.20255058261750997,0.5119355010447375,0.0,0.0,0.0,0.048977880673188624,0.0,0.0,0.04894200441443574,0.0,0.0,0.0,0.0,0.0,0.0
p23_1,0.387065964327561,0.014435043513728093,0.0017570108528432676,0.036072483096226564,0.0,0.0,0.0012373466943260563,0.0,0.0,0.001557753411846289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17585614464771443,0.0,0.17141146928000178,0.0,0.0,0.0
b23,0.017357414880818184,0.041599118588561926,0.06552955045074577,0.03923007601947746,0.002270746783452419,0.03151083894987383,0.028733743936924672,0.0,0.01604743256475092,0.03452996513428019,0.0,0.0,0.0,0.0035429376550143955,0.0,0.0,0.0033928281869920474,0.0077740244105978075,0.0,0.0073550038503051775,0.0,0.0,0.0
nb23,0.026387648746079375,0.045549202507854915,0.08193062273238504,0.04426538579780267,0.0026398471947104837,0.03473799458614105,0.03137979140424916,0.0,0.018655875744082517,0.037593926082912385,0.0,0.0,0.0,0.00353042347041845,0.0,0.0,0.0033808442114416303,0.011988732160590003,0.0,0.011970740635602745,0.0,0.0,0.0
ss4_L4,0.0,0.009708254834280337,0.005514476564315436,0.030876954613865536,0.24103973495169356,0.0896554455057984,0.07961137314742532,0.2724710012195942,0.17893221759929842,0.01955638388620711,0.011148604578057272,0.0,0.0,0.24605655795471748,0.0,0.0,0.12538188577064366,0.08951242479473664,0.21933332334164893,0.08529021884586978,0.0,0.0,0.0
ss4_L23,0.0,0.017344044586534286,0.009499904550887332,0.03546158530584143,0.19715376447543106,0.07931283909717164,0.07191916961661884,0.23800133113689598,0.16183140111931024,0.023162007754039194,0.009602967582860451,0.0,0.0,0.20157307988600884,0.0,0.0,0.10241284811998645,0.07283592706917877,0.18892506045433125,0.07346562531457948,0.0,0.0,0.0
p4_4,0.0,0.013429864264019133,0.00478993984721529,0.026820089548058965,0.2023323306739034,0.07577103399016437,0.07083800350692826,0.24000495028056198,0.16319378212692923,0.025480361014720645,0.009683810364676474,0.0,0.0,0.20523083116015636,0.0037404920916309847,0.0,0.11078592282879593,0.07529300823806886,0.1905155299951374,0.07408409720538171,0.0,0.0,0.0
p4_23,0.0,0.03392314444683058,0.02102489398649478,0.03154687933125891,0.001817114395412101,0.02608535696103452,0.02351611718770759,0.0,0.008025999677537593,0.02850903441698718,0.0,0.0,0.0,0.002812655481630063,0.0,0.0,0.0025857475966226287,0.0,0.0,0.0,0.0,0.0,0.0
p4_1,0.0845261968041504,0.003152277496259764,0.00038369027199915763,0.00787739064245315,0.0,0.0,0.00027020771609631794,0.0,0.0,0.00034017708503718345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03840288855553457,0.0,0.03743227491474464,0.0,0.0,0.0
